date,gld,dxy
2025-04-01,287.57000732421875,104.26000213623047
2025-04-02,288.1600036621094,103.80999755859375
2025-04-03,286.4200134277344,102.06999969482422
2025-04-04,279.7200012207031,103.0199966430664
2025-04-07,273.7099914550781,103.26000213623047
2025-04-08,275.20001220703125,102.95999908447266
2025-04-09,285.3800048828125,102.9000015258789
2025-04-10,292.3500061035156,100.87000274658203
2025-04-11,297.92999267578125,99.77999877929688
2025-04-14,296.2300109863281,99.63999938964844
2025-04-15,297.7799987792969,100.22000122070312
2025-04-16,307.4700012207031,99.37999725341797
2025-04-17,306.1199951171875,99.37999725341797
2025-04-21,315.5899963378906,98.27999877929688
2025-04-22,311.1099853515625,98.91999816894531
2025-04-23,303.6499938964844,99.83999633789062
2025-04-24,308.07000732421875,99.29000091552734
2025-04-25,304.7300109863281,99.47000122070312
2025-04-28,309.07000732421875,99.01000213623047
2025-04-29,306.05999755859375,99.23999786376953
2025-04-30,303.7699890136719,99.47000122070312
2025-05-01,297.4599914550781,100.25
2025-05-02,297.9800109863281,100.0
2025-05-05,306.8800048828125,99.83000183105469
2025-05-06,315.4800109863281,99.23999786376953
2025-05-07,310.75,99.61000061035156
2025-05-08,304.6300048828125,100.63999938964844
2025-05-09,306.8399963378906,100.33999633789062
2025-05-12,298.19000244140625,101.79000091552734
2025-05-13,299.4599914550781,101.0
2025-05-14,293.1600036621094,101.04000091552734
2025-05-15,297.8399963378906,100.87999725341797
2025-05-16,294.239990234375,101.08999633789062
2025-05-19,298.0299987792969,100.43000030517578
2025-05-20,303.5799865722656,100.12000274658203
2025-05-21,305.82000732421875,99.55999755859375
2025-05-22,303.1099853515625,99.95999908447266
2025-05-23,309.75,99.11000061035156
2025-05-26,309.75,98.93000030517578
2025-05-27,304.5,99.5199966430664
2025-05-28,303.80999755859375,99.87999725341797
2025-05-29,305.6099853515625,99.27999877929688
2025-05-30,303.6000061035156,99.33000183105469
2025-06-02,311.6700134277344,98.69999694824219
2025-06-03,308.9100036621094,99.25
2025-06-04,310.8999938964844,98.79000091552734
2025-06-05,309.3299865722656,98.73999786376953
2025-06-06,305.17999267578125,99.19000244140625
2025-06-09,306.6199951171875,98.94000244140625
2025-06-10,306.7099914550781,99.05000305175781
2025-06-11,308.3699951171875,98.62999725341797
2025-06-12,312.20001220703125,97.91999816894531
2025-06-13,316.2900085449219,98.18000030517578
2025-06-16,311.7799987792969,98.0
2025-06-17,311.94000244140625,98.81999969482422
2025-06-18,310.260009765625,98.91000366210938
2025-06-20,310.1300048828125,98.70999908447266
2025-06-23,311.0799865722656,98.41999816894531
2025-06-24,306.19000244140625,97.86000061035156
2025-06-25,307.1199951171875,97.68000030517578
2025-06-26,306.7799987792969,97.1500015258789
2025-06-27,301.2200012207031,97.4000015258789
2025-06-30,304.8299865722656,96.87999725341797
2025-07-01,307.54998779296875,96.81999969482422
2025-07-02,309.25,96.77999877929688
2025-07-03,307.1400146484375,97.18000030517578
2025-07-07,307.3699951171875,97.4800033569336
2025-07-08,304.1600036621094,97.51000213623047
2025-07-09,305.5199890136719,97.47000122070312
2025-07-10,306.20001220703125,97.6500015258789
2025-07-11,309.1400146484375,97.8499984741211
2025-07-14,308.010009765625,98.08000183105469
2025-07-15,306.7300109863281,98.62000274658203
2025-07-16,308.260009765625,98.38999938964844
2025-07-17,307.5899963378906,98.7300033569336
2025-07-18,308.3900146484375,98.4800033569336
2025-07-21,313.1300048828125,97.8499984741211
2025-07-22,316.1000061035156,97.38999938964844
2025-07-23,312.17999267578125,97.20999908447266
2025-07-24,310.2699890136719,97.37999725341797
2025-07-25,307.3999938964844,97.6500015258789
2025-07-28,305.4100036621094,98.66000366210938
2025-07-29,306.25,98.91000366210938
2025-07-30,300.9599914550781,99.94000244140625
2025-07-31,302.9599914550781,100.02999877929688
2025-08-01,309.1099853515625,98.69000244140625
2025-08-04,310.9100036621094,98.77999877929688
2025-08-05,311.1600036621094,98.77999877929688
2025-08-06,310.5,98.18000030517578
2025-08-07,313.1199951171875,98.4000015258789
2025-08-08,313.04998779296875,98.18000030517578
2025-08-11,308.54998779296875,98.5199966430664
2025-08-12,308.2699890136719,98.0999984741211
2025-08-13,309.2099914550781,97.83999633789062
2025-08-14,307.25,98.25
2025-08-15,307.42999267578125,97.8499984741211
2025-08-18,306.95001220703125,98.16999816894531
2025-08-19,305.2699890136719,98.2699966430664
2025-08-20,308.3599853515625,98.22000122070312
2025-08-21,307.2900085449219,98.62000274658203
2025-08-22,310.5799865722656,97.72000122070312
2025-08-25,309.8299865722656,98.43000030517578
2025-08-26,312.0799865722656,98.2300033569336
2025-08-27,312.7099914550781,98.2300033569336
2025-08-28,315.0299987792969,97.80999755859375
2025-08-29,318.07000732421875,97.7699966430664
2025-09-02,325.5899963378906,98.4000015258789
2025-09-03,328.1400146484375,98.13999938964844
2025-09-04,326.69000244140625,98.3499984741211
2025-09-05,331.04998779296875,97.7699966430664
2025-09-08,334.82000732421875,97.44999694824219
2025-09-09,334.05999755859375,97.79000091552734
2025-09-10,335.260009765625,97.77999877929688
2025-09-11,334.760009765625,97.54000091552734
2025-09-12,335.4200134277344,97.55000305175781
2025-09-15,338.9100036621094,97.30000305175781
2025-09-16,339.5899963378906,96.62999725341797
2025-09-17,336.9700012207031,96.87000274658203
2025-09-18,335.6199951171875,97.3499984741211
2025-09-19,339.17999267578125,97.63999938964844
2025-09-22,345.04998779296875,97.33000183105469
2025-09-23,346.4599914550781,97.26000213623047
2025-09-24,343.32000732421875,97.87000274658203
2025-09-25,344.75,98.55000305175781
